,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
1221,Pålægsvarer,"Kogt oksebryst, pålæg",0,1141,275,6.25,3.36,19,19,0,0,0,0,0,22.1,0.94,0,3.4,44.5,55.5,42,42,0,iv,iv,iv,iv,iv,0.9,0.9,iv,iv,iv,0,0.032,iv,0.138,8.98,5,0.32,0.47,0,6.86,4,1.4,0,0,iv,iv,iv,571,130,4.82,17,267,2.04,0.088,3.1,1.2,0.011,4,6.5,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,0,0.002,iv,0.439,iv,3.791,iv,2.157,0.01,iv,iv,iv,iv,iv,iv,0.177,iv,7.25,iv,5.406,0.258,iv,0.022,iv,iv,iv,iv,0.335,iv,0.088,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.32,iv,iv,iv,0.519,6.398,13.113,0.424,0.32,20.774,0.088,0.335,78,1010,1580,1750,504,151,806,672,874,239,1080,1240,706,1210,1850,2960,1140,941,iv,840,iv
1223,Dressings,"Dressing, thousand island",0,1547,375,6.25,0.174,1.1,1.1,14.7,12.7,12.7,iv,2,35.1,0.956,0,2.7,53.5,46.5,11.7,4,92,0,0,iv,iv,iv,4,4,30,iv,iv,0,1.45,iv,0.058,0.679,0.418,0,0,0,0,iv,0,0,0,iv,iv,iv,863,107,17,8,27,1.18,iv,0.26,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2,iv,0,0,0,0,0.102,iv,0.102,iv,4.406,iv,1.332,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.205,iv,7.9,iv,iv,0,0,iv,iv,iv,16.907,iv,2.562,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,5.943,8.105,19.469,iv,33.517,2.562,16.907,26,63,92,73,28,19,47,47,59,16,66,75,26,54,90,132,33,45,iv,90,iv
1224,Kiks og småkager,Kammerjunkere,0,1959,467,5.7,0.954,5.4,6,72.1,70.2,66.4,iv,2,17.8,0.73,0,1.3,96.6,3.4,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,310,352,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.0878,iv,0.17,0.257,0.457,0.129,23.1,23.7,iv,iv,24,iv,iv,iv,iv,42.4,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0.063,0.049,0.448,iv,0.248,0,4.338,0,0.823,0.02,iv,0,iv,0,iv,iv,0,iv,0,0,4.991,0.156,iv,0.014,0,0,0,iv,1.576,0,0.205,0,0,0,iv,iv,iv,iv,0,iv,0,0,0,0,iv,iv,0,0.027,0,0,0.028,0,5.988,5.162,1.782,0.055,12.986,0.205,1.576,iv,229,410,134,87,95,286,124,153,62,267,210,124,181,239,1860,200,639,iv,286,iv
1225,Gryn,"Risengryn, grødris, polerede, rå",0,1528,360,5.95,1.092,6.5,6.8,80.8,80.3,78.1,0,0.5,1.3,0.82,0,0.4,89,11,0,0,0,0,0,iv,iv,iv,0.05,0.05,iv,iv,0.05,0,0.07,iv,0.035,1.53,1.4,0.109,0.55,3,31,iv,0,0,0,iv,iv,iv,1.8,150,5.9,35,103,1.2,0.2,1.7,2.2,0.9,0.5,0.9,20,iv,33.7,iv,iv,iv,iv,iv,iv,0.39,9.9,iv,4.6,0.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.003,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,78.1,iv,iv,iv,2.45,0.14,0.56,0.63,0.4,iv,iv,iv,iv,iv,0,0,iv,0.01,iv,0.256,iv,0.027,0.004,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.316,iv,iv,0,0,iv,iv,iv,0.44,iv,0.012,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.297,0.317,0.452,iv,1.066,0.012,0.44,0,284,502,240,153,76,349,186,218,92,426,491,142,382,579,983,295,295,iv,328,iv
1226,Charcuterivarer,"Skinke, røget",15,964,231,6.25,4.544,28.4,28.4,0,0,0,0,0,13,0.915,0,6,47.4,52.6,0,0,0,0.617,0.127,iv,0.098,iv,0.03,0.03,iv,iv,iv,0,0.41,iv,0.19,8.7,3.4,0.4,0.6,2.6,1.5,iv,1,0,0,iv,iv,iv,2410,256,5.16,20,275,0.9,0.1,3.6,1.2,0.014,5.3,12.1,0,iv,2.5,iv,iv,iv,iv,iv,iv,0.13,2,iv,1.9,5.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,16.9,21.8,4.9,27.6,10.2,5.38,1.45,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.183,0,3.152,0,1.403,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.457,0,5.368,iv,iv,0.071,iv,iv,iv,iv,1.149,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.112,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.738,5.897,1.261,iv,11.895,0,1.261,88,1500,2230,2550,772,241,1140,1050,1320,318,1640,1820,1000,1770,2590,4040,1590,1230,iv,1230,iv
1227,Smelteost,"Smelteost, 30+",0,1068,256,6.38,4.138,26.4,25.9,0.5,0.5,0.1,0,0,16.5,0.945,0,2.9,46.3,53.7,146,140,73,0.18,0.18,iv,iv,iv,0.42,0.42,iv,iv,iv,0,0.09,iv,0.43,6.17,0.1,0.025,0.4,1.5,7,3,1,0,0,iv,iv,874,566,120,650,26,900,0.34,0.35,2.6,13.8,0.041,0.25,8.8,6,iv,3,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,0.45,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.2,3,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.09,iv,iv,0.09,iv,iv,0.09,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.561,0.361,0.23,0.511,0.641,iv,1.823,iv,4.887,iv,1.672,iv,iv,iv,iv,iv,iv,iv,0.23,iv,0.361,iv,3.665,iv,iv,0.19,iv,iv,iv,iv,0.34,iv,0.12,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,10.685,4.446,0.461,iv,15.592,0.12,0.34,55,1450,2440,2110,745,95,1370,1450,910,364,1780,828,745,828,1860,5170,538,2770,iv,1490,iv
1228,Blød løbeost,"Brie, 45+",0,1182,285,6.38,3.253,20.8,20.3,0.9,0.9,0.1,0,0,22,0.945,0,3.5,47.2,52.8,198,190,99,0.23,0.23,iv,iv,iv,0.57,0.57,iv,iv,iv,0,0.05,iv,0.34,5.15,0.38,0.235,0.69,6,91,1,1.65,0,0,iv,iv,1010,647,108,720,20,370,0.21,0.07,2.38,10.4,0.048,0.25,7,6,1,4.96,iv,iv,iv,iv,iv,iv,0.06,1,iv,0.01,0.45,iv,0.06,0.03,iv,iv,iv,iv,0.03,0.09,0.92,12.4,iv,5.3,25.7,iv,iv,0,iv,iv,iv,iv,0.09,iv,iv,0.09,iv,iv,0.09,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.746,0.481,0.314,0.687,0.854,iv,2.435,iv,6.509,iv,2.219,iv,iv,iv,iv,iv,iv,iv,0.314,iv,0.481,iv,4.88,iv,iv,0.245,iv,iv,iv,iv,0.461,iv,0.167,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,14.246,5.92,0.628,iv,20.795,0.167,0.461,73,1140,1920,1660,586,75,1070,1140,716,286,1400,651,586,651,1460,4070,423,2180,iv,1170,iv
1229,Kylling og høne,"Kylling, kød og skind, paneret, friturestegt",0,1183,283,6.25,3.606,22.5,22.5,9.4,9.1,9.1,0,0.3,17.4,0.911,0,1.3,50.6,49.4,28,28,0,1.5,1.5,iv,iv,iv,iv,iv,iv,iv,iv,0,0.115,iv,0.189,11.3,7.04,0.31,0.889,iv,18,iv,0.28,0,0,iv,iv,iv,292,185,21,21,155,1.37,0.072,1.67,iv,0.057,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.04,iv,0,0,0,0,0.026,iv,0.132,iv,4.074,iv,1.772,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.714,iv,8.492,iv,iv,0.119,0,iv,iv,iv,iv,iv,0.265,iv,0,iv,iv,iv,iv,iv,iv,iv,0.132,0.013,0.026,0.04,iv,iv,iv,iv,iv,iv,iv,iv,6.005,9.325,0.476,iv,15.806,0.344,0.132,87,1120,1660,1770,577,310,902,721,938,256,1120,1370,649,1260,1950,3610,1370,1190,iv,829,iv
1230,Friske æg,"Æg, høne, blomme, rå",0,1340,324,6.25,2.499,15.6,15.6,1.4,1.4,0.2,0,0,28.4,0.83,0,1.7,47.1,52.9,606,595,124,9.26,3.95,iv,1.06,iv,10.1,10.1,iv,iv,0.75,0.7,0.217,iv,0.575,3.37,0.0344,0.329,4.8,47.1,51,47,3.42,0,iv,iv,iv,189,57.8,103,138,11.9,499,5.33,0.138,3.74,71.9,0.117,0.416,42.4,17,iv,4,iv,iv,iv,iv,iv,iv,0,iv,iv,0.3,2,iv,iv,iv,iv,iv,iv,iv,0,iv,0.01,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.2,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,iv,0.073,0,5.723,0,2.11,0,iv,0.02,iv,0,iv,iv,0,iv,0.538,iv,10.019,0.447,0.077,0.03,0,0,0,iv,3.273,iv,0.199,iv,0,0.008,iv,iv,iv,0.225,0,0.006,0.485,0.003,0.01,0.038,iv,iv,iv,0.057,iv,iv,0,0.215,7.927,11.112,4.246,0.057,23.558,0.475,3.771,1076,850,1380,1250,400,230,675,700,775,200,1030,1080,400,825,1500,1650,500,625,iv,1330,iv
1232,Oksekød,"Oksekød, uspec., fedt, råt",8,1332,322,6.25,2.624,16.4,16.4,0.2,0.2,0,0,0,28.4,0.935,0,0.8,45.8,54.2,42,42,0,0.898,iv,iv,iv,iv,0.9,0.9,iv,iv,iv,0,0.032,iv,0.138,8.11,5,0.32,0.47,0,6.86,4,1.4,0,0,iv,iv,iv,62,272,4,17,170,1.6,0.059,3.9,1.2,0.011,4,6.5,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.848,0.16,7.125,0.319,3.443,iv,iv,iv,iv,iv,iv,iv,0.399,iv,1.666,0.269,11.176,iv,iv,0,iv,iv,iv,iv,0.529,iv,0.349,iv,iv,iv,iv,iv,iv,0,iv,iv,0.269,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,11.895,13.512,1.148,iv,26.554,0.349,0.798,72,787,1230,1360,394,118,630,525,682,186,840,971,551,945,1440,2310,892,735,iv,656,iv
1233,Oksekød,"Oksekød, tyndbryst, råt",12,1148,278,6.25,2.72,7,7,0,0,0,0,0,27.8,0.94,0,1,35.8,64.2,34,34,0,0.9,0.9,iv,iv,iv,0.84,0.84,iv,iv,iv,0,0.031,iv,0.15,8.22,5,0.38,0.51,0,4,4,1.4,0,0,iv,iv,iv,65,260,4.8,17,133,1.6,0.06,3.9,1.2,0.011,4,7.7,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,1.147,0.219,iv,0.423,4.644,iv,iv,iv,iv,iv,iv,iv,0.533,iv,2.254,0.355,15.026,iv,iv,0,iv,iv,iv,iv,0.71,iv,0.464,iv,iv,iv,iv,iv,iv,0,iv,iv,0.355,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,6.434,18.168,1.53,iv,26.132,0.464,1.065,46,816,1280,1410,408,122,653,544,707,193,870,1010,571,979,1500,2390,925,762,iv,680,iv
1234,Fåre- og lammekød,"Lammekød, uspec., råt",27,1365,330,6.25,2.336,13.9,13.9,0,0,0,0,0,30.5,0.91,0,1.2,45.6,54.4,45,45,0,0.4,0.4,iv,iv,iv,0.7,0.7,iv,iv,iv,0,0.18,iv,0.3,6.56,4.3,0.2,0.55,1,2,1,1.2,1,1,iv,iv,iv,66,218,20,17,130,1.5,0.122,3.42,0.7,0.01,2.12,6.05,0,iv,2.14,iv,iv,iv,iv,iv,iv,0.129,iv,iv,0.4,1.25,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.07,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0,0,0,0,0,iv,1.528,0.17,6.871,0.29,5.933,0,iv,0,iv,iv,iv,iv,0,0,0.37,0.29,10.886,iv,iv,0,0,iv,iv,iv,0.709,iv,0.709,iv,iv,iv,iv,iv,iv,0,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,14.791,11.545,1.418,iv,27.755,0.709,0.709,76,724,1190,1330,374,124,584,584,631,135,794,981,420,911,1330,2150,771,677,iv,584,iv
1235,Blød løbeost,"Camembert, 45+",0,1196,288,6.38,3.354,21.4,21,0.2,0.2,0.1,0,0,22.4,0.945,0,3.3,47.3,52.7,198,190,99,0.23,0.23,iv,iv,iv,0.57,0.57,iv,iv,iv,0,0.045,iv,0.45,6.72,1.8,0.25,1.36,6,62,iv,1.13,0,0,iv,iv,iv,1300,187,720,20,370,0.18,0.07,2.38,10.4,0.048,0.25,7,6,1,4.96,iv,iv,iv,iv,iv,iv,0.06,1,iv,0.01,0.45,iv,0,0.05,iv,iv,iv,iv,0.65,0.05,3.3,14.5,iv,12.5,24.5,iv,iv,0,iv,iv,iv,iv,0.1,iv,iv,0.1,iv,iv,0.1,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.76,0.49,0.32,0.7,0.87,iv,2.479,iv,6.626,iv,2.259,iv,iv,iv,iv,iv,iv,iv,0.32,iv,0.49,iv,4.967,iv,iv,0.25,iv,iv,iv,iv,0.47,iv,0.17,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,14.502,6.027,0.64,iv,21.168,0.17,0.47,75,1170,1980,1710,604,77,1110,1170,738,295,1440,671,604,671,1510,4190,436,2250,iv,1210,iv
1236,Kylling og høne,"Kylling, kød og skind, friturestegt",0,1086,260,6.25,4.528,28.3,28.3,0.1,0.1,0,0,0,16.3,0.92,0,1.7,46.4,53.6,47,47,0,1.5,1.5,iv,iv,iv,iv,iv,iv,iv,iv,0,0.063,iv,0.168,13.8,8.5,0.4,1.03,iv,5,iv,0.3,0,0,iv,iv,iv,338,262,15,23,182,1.3,0.065,1.8,iv,0.02,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0,iv,0.126,iv,3.347,0.014,0.998,0.027,iv,0.015,iv,0,iv,iv,0.01,iv,0.387,iv,6.152,0,iv,0.093,0,0,0,iv,3.087,iv,0.502,iv,0,0.028,iv,iv,iv,0.101,iv,0.019,iv,0,0.033,0.044,iv,iv,iv,iv,iv,iv,iv,0,4.527,6.641,3.814,iv,14.983,0.679,3.135,88,1400,2040,2310,770,380,1090,906,1180,317,1360,1770,815,1680,2540,4120,1860,1400,iv,996,iv
1237,Oksekød,"Oksekød, tykbryst, råt",15,950,229,6.25,2.544,15.9,15.9,0,0,0,0,0,18.4,0.846,0,1,35.3,64.7,36,36,0,0.9,0.9,iv,iv,iv,0.88,0.88,iv,iv,iv,0,0.033,iv,0.155,7.91,4.9,0.38,0.49,0,4,4,1.4,0,0,iv,iv,iv,65,254,4,17,170,1.6,0.05,3.9,1.2,0.011,4,6.5,0,iv,0.7,iv,iv,iv,iv,iv,iv,0.05,0.53,iv,0.9,2.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.23,2.35,0.003,0.23,0.84,2.58,iv,iv,0,iv,0,0,0,0,0,0,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,iv,iv,0,0,0,iv,0.479,iv,4.155,iv,2.419,0,iv,0,iv,iv,iv,iv,0.147,iv,0.802,iv,6.488,iv,iv,0,0,0,iv,iv,0.24,iv,0.079,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,0,iv,iv,iv,0.426,iv,iv,iv,0.297,7.053,7.437,0.319,0.426,15.533,0.079,0.24,60,763,1200,1320,382,114,611,509,661,181,814,941,534,916,1400,2240,865,712,iv,636,iv
1238,Fiskeprodukter,Sildepostej,0,1428,346,6.25,1.776,11.1,11.1,0.8,0.8,0.8,iv,0,33.1,0.92,0,2.4,47.4,52.6,142,142,iv,8,8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1080,700,199,31,17.6,131,1.21,0.056,0.9,27,0.022,iv,20,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0.2,0.2,0,iv,0.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.225,0.112,0.674,iv,1.011,iv,3.821,iv,2.36,0.112,iv,0.112,iv,0,iv,iv,0,iv,0.562,iv,12.81,0.674,iv,0.787,0,1.236,0.112,iv,3.483,iv,0.562,iv,0.225,0,iv,iv,iv,0,iv,iv,iv,0.562,0.112,0.787,iv,iv,iv,iv,iv,iv,iv,0.112,8.428,16.181,5.731,iv,30.452,2.247,3.483,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
1240,Gryn,"Boghvedegryn, rå",0,1507,355,5.83,1.201,7,7.5,79.8,77.5,76.4,0,2.3,1.4,0.9,0,0.9,89.1,10.9,1,0,12,0,0,iv,iv,iv,0.1,0.1,iv,iv,iv,0,0.39,iv,0.1,2.2,3.5,0.4,1.45,iv,29,iv,0,0,0,iv,150,iv,1,242,10.6,101,155,1.5,0.62,2.5,0.5,1.5,1.4,20,10,5,420,50,9,490,1.31,530,6500,0,6.1,iv,3.3,2.8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,0.29,0.29,iv,3.1,0.29,iv,iv,iv,iv,76.1,iv,iv,iv,2.87,0.63,0.89,0.71,0.47,iv,iv,iv,iv,iv,iv,0,iv,0.007,iv,0.292,iv,0.035,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.167,0.71,iv,0.049,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,0.334,0.167,0.759,iv,1.26,0.049,0.71,0,288,516,456,132,73,324,168,276,132,432,588,180,360,1720,1060,468,276,iv,360,iv
1243,Halvfast løbeost,"Feta, 50+",0,1261,304,6.38,2.79,17.8,17.4,1.5,1.5,0.5,0,0,25.2,0.945,0,4.7,49.2,50.8,223,214,111,0.26,0.26,iv,iv,iv,0.64,0.64,iv,iv,iv,0,0.045,iv,0.45,5.89,1.8,0.25,1.36,1.5,62,iv,1.13,0,0,iv,iv,iv,1580,187,620,20,360,0.18,0.07,2.38,10.4,0.059,0.25,5.9,6,iv,1.36,iv,iv,iv,iv,iv,iv,0.06,1,iv,0.01,0.45,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.6,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.53,iv,iv,0.53,iv,iv,0.53,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.859,0.549,0.36,0.789,0.979,iv,2.787,iv,7.442,iv,2.547,iv,iv,iv,iv,iv,iv,iv,0.36,iv,0.549,iv,5.594,iv,iv,0.29,iv,iv,iv,iv,0.519,iv,0.19,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,16.312,6.793,0.709,iv,23.814,0.19,0.519,84,977,1650,1420,502,64,921,977,614,246,1200,558,502,558,1260,3490,363,1870,iv,1000,iv
1244,Fast løbeost,"Skummetmælksost, max. 5+",0,783,185,6.38,6.755,43.1,42.2,1,1,0.1,0,0,0.9,0.945,0,3.2,48.2,51.8,8.33,8,4,0.05,0.05,iv,iv,iv,0.02,0.02,iv,iv,iv,0,iv,iv,iv,9.91,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,680,440,iv,1280,iv,780,iv,iv,iv,iv,iv,0.25,14,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,0.45,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.031,0.02,0.013,0.028,0.035,iv,0.1,iv,0.265,iv,0.091,iv,iv,iv,iv,iv,iv,iv,0.013,iv,0.02,iv,0.199,iv,iv,0.01,iv,iv,iv,iv,0.019,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.582,0.242,0.026,iv,0.85,0.007,0.019,5,2360,3990,3450,1220,155,2230,2360,1490,594,2910,1350,1220,1350,3040,8440,878,4530,iv,2430,iv
